DIP:18E	DIP:634N			S06119	85054	DIP:243N			A49426	627246	8906794	Immunoprecipitation
DIP:18903E	DIP:17068N				24586562	DIP:17066N				24650829	14605208	Two hybrid test
DIP:18904E	DIP:17069N				19920396	DIP:17066N				24650829	14605208	Two hybrid test
DIP:18905E	DIP:17070N				24650202	DIP:17066N				24650829	14605208	Two hybrid test
DIP:18906E	DIP:17071N				24651690	DIP:17066N				24650829	14605208	Two hybrid test
DIP:18907E	DIP:17072N				23397619	DIP:17066N				24650829	14605208	Two hybrid test
DIP:18908E	DIP:17073N				28572963	DIP:17066N				24650829	14605208	Two hybrid test
DIP:18909E	DIP:17074N				24666053	DIP:17066N				24650829	14605208	Two hybrid test
DIP:18910E	DIP:17075N				17530793	DIP:17066N				24650829	14605208	Two hybrid test
DIP:18911E	DIP:17076N				24664458	DIP:17066N				24650829	14605208	Two hybrid test
DIP:18912E	DIP:17077N				24643915	DIP:17066N				24650829	14605208	Two hybrid test
DIP:18913E	DIP:17079N				20129291	DIP:17078N				21357001	14605208	Two hybrid test
DIP:18914E	DIP:537N		P07181	MCFF	17647231	DIP:17078N				21357001	14605208	Two hybrid test
DIP:18915E	DIP:17081N		P23757		17986167	DIP:17078N				21357001	14605208	Two hybrid test
DIP:18916E	DIP:17083N				19920688	DIP:17082N				24581481	14605208	Two hybrid test
DIP:18917E	DIP:17084N				24638546	DIP:17082N				24581481	14605208	Two hybrid test
DIP:18918E	DIP:17085N				24643134	DIP:17082N				24581481	14605208	Two hybrid test
DIP:18919E	DIP:17087N		Q24564		17647629	DIP:17086N				24581499	14605208	Two hybrid test
DIP:18920E	DIP:17088N				24644345	DIP:17086N				24581499	14605208	Two hybrid test
DIP:18921E	DIP:17089N				17933736	DIP:17086N				24581499	14605208	Two hybrid test
DIP:18922E	DIP:17090N				20129451	DIP:17086N				24581499	14605208	Two hybrid test
DIP:18923E	DIP:17091N				21357211	DIP:17086N				24581499	14605208	Two hybrid test
DIP:18924E	DIP:17092N		O18404		17737361	DIP:17086N				24581499	14605208	Two hybrid test
DIP:18925E	DIP:17093N				17647581	DIP:17086N				24581499	14605208	Two hybrid test
DIP:18926E	DIP:17095N				21357023	DIP:17094N				20129213	14605208	Two hybrid test
DIP:18927E	DIP:17097N				28573207	DIP:17096N				17136748	14605208	Two hybrid test
DIP:18928E	DIP:17098N				17864444	DIP:17096N				17136748	14605208	Two hybrid test
DIP:18929E	DIP:17099N				24643595	DIP:17096N				17136748	14605208	Two hybrid test
DIP:18930E	DIP:17100N				18860539	DIP:17096N				17136748	14605208	Two hybrid test
DIP:18931E	DIP:17101N				24639187	DIP:17096N				17136748	14605208	Two hybrid test
DIP:18932E	DIP:17103N				21357417	DIP:17102N				24655701	14605208	Two hybrid test
DIP:18933E	DIP:17104N				18858043	DIP:17102N				24655701	14605208	Two hybrid test
DIP:18934E	DIP:17105N		P52295	A57319	17136998	DIP:17102N				24655701	14605208	Two hybrid test
DIP:18935E	DIP:17106N		Q8INW0		28574352	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18936E	DIP:17097N				28573207	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18937E	DIP:17107N				17137168	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18938E	DIP:17108N				24663344	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18939E	DIP:17109N				24585147	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18940E	DIP:17110N		P23023	B32372	24644934	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18941E	DIP:17067N				24644093	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18942E	DIP:17111N				28574726	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18943E	DIP:17069N				19920396	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18944E	DIP:17112N				24652101	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18945E	DIP:17113N				24652999	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18946E	DIP:17114N				24658370	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18947E	DIP:17115N				24649755	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18948E	DIP:17116N				24649158	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18949E	DIP:17117N				24643702	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18950E	DIP:17118N				24666619	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18951E	DIP:17119N				24643303	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18952E	DIP:17120N		Q8IN81		24647980	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18953E	DIP:17121N				24642134	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18954E	DIP:17122N				24583929	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18955E	DIP:17123N				24639885	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18956E	DIP:17124N				24653236	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18957E	DIP:17125N		Q9W5R8		30923541	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18958E	DIP:17126N				17136864	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18959E	DIP:17127N		O77150		24654942	DIP:17046N				24644797	14605208	Two hybrid test
