DIP:18E	DIP:634N			S06119	85054	DIP:243N			A49426	627246	8906794	Immunoprecipitation
DIP:31883E	DIP:17846N		Q03017		17136840	DIP:17496N				24663055	14605208	Two hybrid test
DIP:31884E	DIP:17157N				24662048	DIP:17496N				24663055	14605208	Two hybrid test
DIP:31885E	DIP:19548N	Hsp70Ap	P82910		24646137	DIP:17692N				24663027	14605208	Two hybrid test
DIP:31886E	DIP:19549N	Hsp70Bp	P02824		24646322	DIP:17692N				24663027	14605208	Two hybrid test
DIP:31888E	DIP:19551N				24646318	DIP:17692N				24663027	14605208	Two hybrid test
DIP:31889E	DIP:19552N				28571678	DIP:17692N				24663027	14605208	Two hybrid test
DIP:31891E	DIP:22771N				19922538	DIP:17692N				24663027	14605208	Two hybrid test
DIP:31892E	DIP:17139N				24643151	DIP:17692N				24663027	14605208	Two hybrid test
DIP:31893E	DIP:22259N				24646940	DIP:17692N				24663027	14605208	Two hybrid test
DIP:31894E	DIP:21923N				24661681	DIP:17692N				24663027	14605208	Two hybrid test
DIP:31895E	DIP:18762N				20130247	DIP:17692N				24663027	14605208	Two hybrid test
DIP:31896E	DIP:18310N		P08570		17136320	DIP:17692N				24663027	14605208	Two hybrid test
DIP:31897E	DIP:22772N				21357907	DIP:17692N				24663027	14605208	Two hybrid test
DIP:31898E	DIP:17151N		O16797		17737907	DIP:17692N				24663027	14605208	Two hybrid test
DIP:31899E	DIP:22773N				18859865	DIP:17692N				24663027	14605208	Two hybrid test
DIP:31900E	DIP:19039N		P15372	A34867	17136400	DIP:17692N				24663027	14605208	Two hybrid test
DIP:31901E	DIP:19043N		P41093	S45364	17647885	DIP:17692N				24663027	14605208	Two hybrid test
DIP:31902E	DIP:22774N				24668194	DIP:17692N				24663027	14605208	Two hybrid test
DIP:31903E	DIP:18113N		Q02748		17136248	DIP:17692N				24663027	14605208	Two hybrid test
DIP:31904E	DIP:19672N				20129277	DIP:17692N				24663027	14605208	Two hybrid test
DIP:31905E	DIP:17095N				21357023	DIP:17620N			T13379	24638900	14605208	Two hybrid test
DIP:31906E	DIP:20887N				18858225	DIP:20762N			T13382	24638910	14605208	Two hybrid test
DIP:31907E	DIP:22775N				24640513	DIP:20762N			T13382	24638910	14605208	Two hybrid test
DIP:31908E	DIP:17795N				18543285	DIP:20762N			T13382	24638910	14605208	Two hybrid test
DIP:31909E	DIP:17656N				28571396	DIP:20762N			T13382	24638910	14605208	Two hybrid test
DIP:31910E	DIP:18790N				24639279	DIP:20762N			T13382	24638910	14605208	Two hybrid test
DIP:31911E	DIP:17546N				17136920	DIP:20762N			T13382	24638910	14605208	Two hybrid test
DIP:31912E	DIP:17085N				24643134	DIP:20762N			T13382	24638910	14605208	Two hybrid test
DIP:31913E	DIP:17834N				24655577	DIP:20762N			T13382	24638910	14605208	Two hybrid test
DIP:31914E	DIP:22776N				24662700	DIP:20762N			T13382	24638910	14605208	Two hybrid test
DIP:31915E	DIP:22777N		P55035		17737721	DIP:20762N			T13382	24638910	14605208	Two hybrid test
DIP:31916E	DIP:17389N				21355909	DIP:20762N			T13382	24638910	14605208	Two hybrid test
DIP:31917E	DIP:17160N				24640353	DIP:20762N			T13382	24638910	14605208	Two hybrid test
DIP:31918E	DIP:21191N				24652680	DIP:18620N				24638691	14605208	Two hybrid test
DIP:31919E	DIP:17267N				28571412	DIP:18620N				24638691	14605208	Two hybrid test
DIP:31920E	DIP:21162N				24583408	DIP:18620N				24638691	14605208	Two hybrid test
DIP:31921E	DIP:17390N				24659953	DIP:18620N				24638691	14605208	Two hybrid test
DIP:31922E	DIP:18856N				17647723	DIP:18620N				24638691	14605208	Two hybrid test
DIP:31923E	DIP:22779N		O61443		17137550	DIP:22778N				24582884	14605208	Two hybrid test
DIP:31924E	DIP:22780N				24652121	DIP:20114N				24652762	14605208	Two hybrid test
DIP:31925E	DIP:17651N				18543295	DIP:20114N				24652762	14605208	Two hybrid test
DIP:31926E	DIP:18121N		Q9W4P5		18543319	DIP:20114N				24652762	14605208	Two hybrid test
DIP:31927E	DIP:18189N				24659254	DIP:20114N				24652762	14605208	Two hybrid test
DIP:31928E	DIP:17374N				24640855	DIP:20114N				24652762	14605208	Two hybrid test
DIP:31929E	DIP:20308N				24663861	DIP:20114N				24652762	14605208	Two hybrid test
DIP:31930E	DIP:17230N				28573466	DIP:20114N				24652762	14605208	Two hybrid test
DIP:31931E	DIP:22781N				19922386	DIP:20114N				24652762	14605208	Two hybrid test
DIP:31932E	DIP:18503N				24654595	DIP:20114N				24652762	14605208	Two hybrid test
DIP:31933E	DIP:18201N				19922992	DIP:20114N				24652762	14605208	Two hybrid test
DIP:31934E	DIP:19380N				21356711	DIP:20114N				24652762	14605208	Two hybrid test
DIP:31935E	DIP:40N		P16371	A30047	24650241	DIP:20114N				24652762	14605208	Two hybrid test
DIP:31936E	DIP:17939N				24654325	DIP:20114N				24652762	14605208	Two hybrid test
DIP:31937E	DIP:17052N		Q01644	S25774	17737807	DIP:18117N				24648083	14605208	Two hybrid test
DIP:31938E	DIP:17543N				28573173	DIP:18117N				24648083	14605208	Two hybrid test
DIP:31939E	DIP:17412N			A57226	17136328	DIP:18117N				24648083	14605208	Two hybrid test
DIP:31940E	DIP:17059N				20130085	DIP:18117N				24648083	14605208	Two hybrid test
DIP:31941E	DIP:17860N				24645148	DIP:18117N				24648083	14605208	Two hybrid test
DIP:31942E	DIP:18340N		P40320		24580529	DIP:21462N				18857949	14605208	Two hybrid test
DIP:31943E	DIP:20444N				19920912	DIP:22782N		Q9W3C2		18858059	14605208	Two hybrid test
DIP:31944E	DIP:18708N			S10319	17136570	DIP:18633N				24583061	14605208	Two hybrid test
DIP:31945E	DIP:17499N		O17445		21357457	DIP:18633N				24583061	14605208	Two hybrid test
DIP:31946E	DIP:18310N		P08570		17136320	DIP:18633N				24583061	14605208	Two hybrid test
DIP:31947E	DIP:17231N				18858161	DIP:18633N				24583061	14605208	Two hybrid test
DIP:31948E	DIP:18637N				21356797	DIP:18633N				24583061	14605208	Two hybrid test
DIP:31949E	DIP:17833N				24659237	DIP:18633N				24583061	14605208	Two hybrid test
DIP:31950E	DIP:17860N				24645148	DIP:18633N				24583061	14605208	Two hybrid test
DIP:31951E	DIP:17389N				21355909	DIP:18633N				24583061	14605208	Two hybrid test
DIP:31952E	DIP:18025N				21356727	DIP:18633N				24583061	14605208	Two hybrid test
DIP:31953E	DIP:18028N				21356595	DIP:22783N				24650794	14605208	Two hybrid test
DIP:31954E	DIP:18121N		Q9W4P5		18543319	DIP:17371N		P29310	JC1122	24652322	14605208	Two hybrid test
DIP:31955E	DIP:19389N		Q24547		17738167	DIP:17371N		P29310	JC1122	24652322	14605208	Two hybrid test
DIP:31956E	DIP:22784N				24582268	DIP:17371N		P29310	JC1122	24652322	14605208	Two hybrid test
DIP:31957E	DIP:21248N				24582699	DIP:17371N		P29310	JC1122	24652322	14605208	Two hybrid test
DIP:31958E	DIP:19734N				24641085	DIP:17371N		P29310	JC1122	24652322	14605208	Two hybrid test
DIP:31959E	DIP:20631N				24661759	DIP:17371N		P29310	JC1122	24652322	14605208	Two hybrid test
DIP:31960E	DIP:18622N				24646908	DIP:17371N		P29310	JC1122	24652322	14605208	Two hybrid test
DIP:31961E	DIP:19122N				17137146	DIP:17371N		P29310	JC1122	24652322	14605208	Two hybrid test
DIP:31962E	DIP:18216N		Q8MSF5		30923682	DIP:17371N		P29310	JC1122	24652322	14605208	Two hybrid test
DIP:31963E	DIP:18899N				24666434	DIP:17371N		P29310	JC1122	24652322	14605208	Two hybrid test
DIP:31964E	DIP:18310N		P08570		17136320	DIP:17371N		P29310	JC1122	24652322	14605208	Two hybrid test
DIP:31965E	DIP:17147N				17737425	DIP:17371N		P29310	JC1122	24652322	14605208	Two hybrid test
DIP:31966E	DIP:21931N				24655036	DIP:17371N		P29310	JC1122	24652322	14605208	Two hybrid test
DIP:31967E	DIP:17152N				24648484	DIP:17371N		P29310	JC1122	24652322	14605208	Two hybrid test
DIP:31968E	DIP:20322N		P22464		17136266	DIP:17371N		P29310	JC1122	24652322	14605208	Two hybrid test
DIP:31969E	DIP:18689N				21356561	DIP:17371N		P29310	JC1122	24652322	14605208	Two hybrid test
DIP:31970E	DIP:19381N				21357821	DIP:17371N		P29310	JC1122	24652322	14605208	Two hybrid test
DIP:31971E	DIP:19925N				17530957	DIP:17371N		P29310	JC1122	24652322	14605208	Two hybrid test
DIP:31972E	DIP:18028N				21356595	DIP:17371N		P29310	JC1122	24652322	14605208	Two hybrid test
DIP:31973E	DIP:18380N				24655121	DIP:17371N		P29310	JC1122	24652322	14605208	Two hybrid test
DIP:31974E	DIP:17052N		Q01644	S25774	17737807	DIP:17497N				24649236	14605208	Two hybrid test
DIP:31975E	DIP:17735N				19921710	DIP:17497N				24649236	14605208	Two hybrid test
DIP:31976E	DIP:18990N				24581155	DIP:17497N				24649236	14605208	Two hybrid test
DIP:31977E	DIP:17105N		P52295	A57319	17136998	DIP:17497N				24649236	14605208	Two hybrid test
DIP:31978E	DIP:18991N				19922526	DIP:17497N				24649236	14605208	Two hybrid test
DIP:31979E	DIP:19321N				21358247	DIP:17497N				24649236	14605208	Two hybrid test
DIP:31980E	DIP:18712N		Q05856	JN0574	17136806	DIP:17497N				24649236	14605208	Two hybrid test
DIP:31981E	DIP:19437N				24647369	DIP:17497N				24649236	14605208	Two hybrid test
DIP:31982E	DIP:19988N				24645425	DIP:17497N				24649236	14605208	Two hybrid test
DIP:31983E	DIP:22785N				19922646	DIP:17497N				24649236	14605208	Two hybrid test
DIP:31984E	DIP:17762N				17737655	DIP:19777N				24638876	14605208	Two hybrid test
DIP:31985E	DIP:21016N				28573401	DIP:18375N		P00034	CCFFDM	17137228	14605208	Two hybrid test
DIP:31986E	DIP:19568N				23308611	DIP:18375N		P00034	CCFFDM	17137228	14605208	Two hybrid test
DIP:31987E	DIP:19131N				24638845	DIP:18375N		P00034	CCFFDM	17137228	14605208	Two hybrid test
DIP:31988E	DIP:19305N				24646827	DIP:18375N		P00034	CCFFDM	17137228	14605208	Two hybrid test
DIP:31989E	DIP:18365N				24646199	DIP:18375N		P00034	CCFFDM	17137228	14605208	Two hybrid test
DIP:31990E	DIP:17152N				24648484	DIP:18375N		P00034	CCFFDM	17137228	14605208	Two hybrid test
DIP:31991E	DIP:17383N				24583965	DIP:18375N		P00034	CCFFDM	17137228	14605208	Two hybrid test
DIP:31992E	DIP:17423N		P15330		24584826	DIP:18375N		P00034	CCFFDM	17137228	14605208	Two hybrid test
DIP:31993E	DIP:20613N				24643106	DIP:18375N		P00034	CCFFDM	17137228	14605208	Two hybrid test
DIP:31994E	DIP:18514N				24582746	DIP:18375N		P00034	CCFFDM	17137228	14605208	Two hybrid test
DIP:31995E	DIP:18495N		Q960T2		24647295	DIP:18375N		P00034	CCFFDM	17137228	14605208	Two hybrid test
DIP:31996E	DIP:18414N				24584167	DIP:18375N		P00034	CCFFDM	17137228	14605208	Two hybrid test
DIP:31997E	DIP:17822N				18858239	DIP:18375N		P00034	CCFFDM	17137228	14605208	Two hybrid test
DIP:31998E	DIP:22786N				24582205	DIP:18375N		P00034	CCFFDM	17137228	14605208	Two hybrid test
DIP:31999E	DIP:17885N				24665661	DIP:18375N		P00034	CCFFDM	17137228	14605208	Two hybrid test
DIP:32000E	DIP:21614N				24667611	DIP:22787N				19921440	14605208	Two hybrid test
DIP:32001E	DIP:18083N				24663228	DIP:22788N				19921442	14605208	Two hybrid test
DIP:32002E	DIP:22789N				24643170	DIP:22788N				19921442	14605208	Two hybrid test
DIP:32003E	DIP:21578N				17137584	DIP:22788N				19921442	14605208	Two hybrid test
DIP:32004E	DIP:22791N		Q9VHS4		17737845	DIP:22790N			JC7253	17648117	14605208	Two hybrid test
DIP:32005E	DIP:18193N				19920696	DIP:22792N				21357621	14605208	Two hybrid test
DIP:32006E	DIP:17076N				24664458	DIP:22792N				21357621	14605208	Two hybrid test
DIP:32007E	DIP:18480N				24646017	DIP:17071N				24651690	14605208	Two hybrid test
DIP:32008E	DIP:17157N				24662048	DIP:17071N				24651690	14605208	Two hybrid test
DIP:32009E	DIP:18493N				24664652	DIP:17071N				24651690	14605208	Two hybrid test
DIP:32010E	DIP:22793N				24654041	DIP:17071N				24651690	14605208	Two hybrid test
DIP:32011E	DIP:17061N				24643447	DIP:17071N				24651690	14605208	Two hybrid test
DIP:32012E	DIP:17552N				21355383	DIP:17071N				24651690	14605208	Two hybrid test
DIP:32013E	DIP:19792N				24642611	DIP:20377N		P16548	A37354	17864574	14605208	Two hybrid test
DIP:32014E	DIP:17244N				17136392	DIP:20377N		P16548	A37354	17864574	14605208	Two hybrid test
DIP:32015E	DIP:22794N				24654916	DIP:21104N				24584710	14605208	Two hybrid test
DIP:32016E	DIP:17274N				28573310	DIP:21104N				24584710	14605208	Two hybrid test
DIP:32017E	DIP:22795N				28573956	DIP:21104N				24584710	14605208	Two hybrid test
DIP:32018E	DIP:19568N				23308611	DIP:21800N				24638708	14605208	Two hybrid test
DIP:32019E	DIP:18822N				24658086	DIP:21800N				24638708	14605208	Two hybrid test
DIP:32020E	DIP:17449N				24653385	DIP:21800N				24638708	14605208	Two hybrid test
DIP:32021E	DIP:22796N				24642278	DIP:21800N				24638708	14605208	Two hybrid test
DIP:32022E	DIP:19115N				20130281	DIP:21800N				24638708	14605208	Two hybrid test
DIP:32023E	DIP:20514N		P17276	JC4888	24660393	DIP:22180N		Q9VEW2		24647419	14605208	Two hybrid test
DIP:32024E	DIP:18254N				24651579	DIP:18155N				24644819	14605208	Two hybrid test
DIP:32025E	DIP:17133N				24649007	DIP:18155N				24644819	14605208	Two hybrid test
DIP:32026E	DIP:18608N				24640817	DIP:18155N				24644819	14605208	Two hybrid test
DIP:32027E	DIP:17141N				17137188	DIP:18155N				24644819	14605208	Two hybrid test
DIP:32028E	DIP:17144N				17137752	DIP:18155N				24644819	14605208	Two hybrid test
DIP:32029E	DIP:22797N				24639632	DIP:18155N				24644819	14605208	Two hybrid test
DIP:32030E	DIP:22453N				24648674	DIP:18155N				24644819	14605208	Two hybrid test
DIP:32031E	DIP:17606N				28574316	DIP:18155N				24644819	14605208	Two hybrid test
DIP:32032E	DIP:22798N				21357419	DIP:18155N				24644819	14605208	Two hybrid test
DIP:32033E	DIP:18608N				24640817	DIP:18053N				17737805	14605208	Two hybrid test
DIP:32034E	DIP:21789N				24661707	DIP:22799N		Q24139		17647271	14605208	Two hybrid test
DIP:32035E	DIP:22800N		Q9V9S8		17864156	DIP:17052N		Q01644	S25774	17737807	14605208	Two hybrid test
DIP:32036E	DIP:17930N				17136854	DIP:17052N		Q01644	S25774	17737807	14605208	Two hybrid test
DIP:32037E	DIP:17136N				28571445	DIP:17052N		Q01644	S25774	17737807	14605208	Two hybrid test
DIP:32038E	DIP:17074N				24666053	DIP:17052N		Q01644	S25774	17737807	14605208	Two hybrid test
DIP:32039E	DIP:17141N				17137188	DIP:17052N		Q01644	S25774	17737807	14605208	Two hybrid test
DIP:32040E	DIP:17143N				30923655	DIP:17052N		Q01644	S25774	17737807	14605208	Two hybrid test
DIP:32041E	DIP:18216N		Q8MSF5		30923682	DIP:17052N		Q01644	S25774	17737807	14605208	Two hybrid test
DIP:32042E	DIP:20280N				19922746	DIP:17052N		Q01644	S25774	17737807	14605208	Two hybrid test
DIP:32043E	DIP:22801N				24580813	DIP:17052N		Q01644	S25774	17737807	14605208	Two hybrid test
DIP:32044E	DIP:17189N				28574406	DIP:17052N		Q01644	S25774	17737807	14605208	Two hybrid test
DIP:32045E	DIP:17156N		P22807	A36664	17136362	DIP:17052N		Q01644	S25774	17737807	14605208	Two hybrid test
DIP:32046E	DIP:20213N				24659028	DIP:17052N		Q01644	S25774	17737807	14605208	Two hybrid test
DIP:32047E	DIP:22802N				17137608	DIP:17052N		Q01644	S25774	17737807	14605208	Two hybrid test
DIP:32048E	DIP:20220N				20129813	DIP:17052N		Q01644	S25774	17737807	14605208	Two hybrid test
DIP:32049E	DIP:18881N		Q9VSC1		21356349	DIP:17052N		Q01644	S25774	17737807	14605208	Two hybrid test
DIP:32050E	DIP:19415N				28573167	DIP:17052N		Q01644	S25774	17737807	14605208	Two hybrid test
DIP:32051E	DIP:19064N		P23792		24642412	DIP:17052N		Q01644	S25774	17737807	14605208	Two hybrid test
DIP:32052E	DIP:18322N				24650924	DIP:17053N		Q01642	S25772	17737809	14605208	Two hybrid test
DIP:32053E	DIP:17133N				24649007	DIP:17053N		Q01642	S25772	17737809	14605208	Two hybrid test
DIP:32054E	DIP:17280N				28558744	DIP:17053N		Q01642	S25772	17737809	14605208	Two hybrid test
DIP:32055E	DIP:17139N				24643151	DIP:17053N		Q01642	S25772	17737809	14605208	Two hybrid test
DIP:32056E	DIP:18608N				24640817	DIP:17053N		Q01642	S25772	17737809	14605208	Two hybrid test
DIP:32057E	DIP:17141N				17137188	DIP:17053N		Q01642	S25772	17737809	14605208	Two hybrid test
DIP:32058E	DIP:17142N				19921002	DIP:17053N		Q01642	S25772	17737809	14605208	Two hybrid test
DIP:32059E	DIP:17155N				17738243	DIP:17053N		Q01642	S25772	17737809	14605208	Two hybrid test
DIP:32060E	DIP:17384N		Q9VCE6		21355141	DIP:17053N		Q01642	S25772	17737809	14605208	Two hybrid test
DIP:32061E	DIP:17156N		P22807	A36664	17136362	DIP:17053N		Q01642	S25772	17737809	14605208	Two hybrid test
DIP:32062E	DIP:20213N				24659028	DIP:17053N		Q01642	S25772	17737809	14605208	Two hybrid test
DIP:32063E	DIP:20847N				24661830	DIP:17053N		Q01642	S25772	17737809	14605208	Two hybrid test
DIP:32064E	DIP:17466N				24659451	DIP:17053N		Q01642	S25772	17737809	14605208	Two hybrid test
DIP:32065E	DIP:22803N				28571205	DIP:21662N		P35220		17737747	14605208	Two hybrid test
DIP:32066E	DIP:18306N				21355911	DIP:21662N		P35220		17737747	14605208	Two hybrid test
DIP:32067E	DIP:19766N		P54357		17530801	DIP:22804N		P02283	HSFF22	17352494	14605208	Two hybrid test
DIP:32068E	DIP:20344N				28573850	DIP:22804N		P02283	HSFF22	17352494	14605208	Two hybrid test
DIP:32069E	DIP:17794N				21357147	DIP:22805N		Q05783	A44382	24657284	14605208	Two hybrid test
DIP:32070E	DIP:22806N				24640802	DIP:22805N		Q05783	A44382	24657284	14605208	Two hybrid test
DIP:32071E	DIP:19649N		P13607		24648576	DIP:22807N				24657306	14605208	Two hybrid test
DIP:32072E	DIP:18322N				24650924	DIP:19712N		P08175	WTFF	17737953	14605208	Two hybrid test
DIP:32073E	DIP:17133N				24649007	DIP:19712N		P08175	WTFF	17737953	14605208	Two hybrid test
DIP:32074E	DIP:17074N				24666053	DIP:19712N		P08175	WTFF	17737953	14605208	Two hybrid test
DIP:32075E	DIP:17141N				17137188	DIP:19712N		P08175	WTFF	17737953	14605208	Two hybrid test
DIP:32076E	DIP:17156N		P22807	A36664	17136362	DIP:19712N		P08175	WTFF	17737953	14605208	Two hybrid test
DIP:32077E	DIP:22808N				20129681	DIP:19712N		P08175	WTFF	17737953	14605208	Two hybrid test
DIP:32078E	DIP:18123N				24585499	DIP:19712N		P08175	WTFF	17737953	14605208	Two hybrid test
DIP:32079E	DIP:19064N		P23792		24642412	DIP:19712N		P08175	WTFF	17737953	14605208	Two hybrid test
DIP:32080E	DIP:19548N	Hsp70Ap	P82910		24646137	DIP:19017N		P07666	B23351	17864102	14605208	Two hybrid test
DIP:32081E	DIP:19549N	Hsp70Bp	P02824		24646322	DIP:19017N		P07666	B23351	17864102	14605208	Two hybrid test
DIP:32083E	DIP:19551N				24646318	DIP:19017N		P07666	B23351	17864102	14605208	Two hybrid test
DIP:32084E	DIP:19552N				28571678	DIP:19017N		P07666	B23351	17864102	14605208	Two hybrid test
DIP:32086E	DIP:22809N				24644365	DIP:19017N		P07666	B23351	17864102	14605208	Two hybrid test
DIP:32087E	DIP:18707N				24651377	DIP:19017N		P07666	B23351	17864102	14605208	Two hybrid test
DIP:32088E	DIP:17840N				18858095	DIP:19017N		P07666	B23351	17864102	14605208	Two hybrid test
DIP:32089E	DIP:18433N				19922798	DIP:19017N		P07666	B23351	17864102	14605208	Two hybrid test
DIP:32090E	DIP:22810N				24661597	DIP:19017N		P07666	B23351	17864102	14605208	Two hybrid test
DIP:32091E	DIP:18765N		P02516	B20647	17737553	DIP:19017N		P07666	B23351	17864102	14605208	Two hybrid test
DIP:32092E	DIP:22811N				20130125	DIP:19017N		P07666	B23351	17864102	14605208	Two hybrid test
DIP:32093E	DIP:22812N				24583839	DIP:19017N		P07666	B23351	17864102	14605208	Two hybrid test
DIP:32094E	DIP:22813N				24662885	DIP:19017N		P07666	B23351	17864102	14605208	Two hybrid test
DIP:32095E	DIP:20000N				24643078	DIP:19017N		P07666	B23351	17864102	14605208	Two hybrid test
DIP:32096E	DIP:18983N				24668642	DIP:19017N		P07666	B23351	17864102	14605208	Two hybrid test
DIP:32097E	DIP:17169N		O18640		17137396	DIP:19017N		P07666	B23351	17864102	14605208	Two hybrid test
DIP:32098E	DIP:22814N				24643147	DIP:19017N		P07666	B23351	17864102	14605208	Two hybrid test
DIP:32099E	DIP:17415N				24667063	DIP:19017N		P07666	B23351	17864102	14605208	Two hybrid test
DIP:32100E	DIP:19273N				21358297	DIP:19017N		P07666	B23351	17864102	14605208	Two hybrid test
DIP:32101E	DIP:22815N				17647245	DIP:19017N		P07666	B23351	17864102	14605208	Two hybrid test
DIP:32102E	DIP:22754N				18859949	DIP:19017N		P07666	B23351	17864102	14605208	Two hybrid test
DIP:32103E	DIP:22816N		P04197		17530961	DIP:19017N		P07666	B23351	17864102	14605208	Two hybrid test
DIP:32104E	DIP:19295N				24642367	DIP:19017N		P07666	B23351	17864102	14605208	Two hybrid test
DIP:32105E	DIP:22817N				24642601	DIP:19017N		P07666	B23351	17864102	14605208	Two hybrid test
DIP:32106E	DIP:21431N				28571481	DIP:19017N		P07666	B23351	17864102	14605208	Two hybrid test
DIP:32107E	DIP:17607N				24645058	DIP:22092N				18859793	14605208	Two hybrid test
DIP:32108E	DIP:19009N				21358455	DIP:19970N		P91943		28558732	14605208	Two hybrid test
DIP:32109E	DIP:17374N				24640855	DIP:22818N				17933702	14605208	Two hybrid test
DIP:32110E	DIP:18515N				19921294	DIP:22819N				24586485	14605208	Two hybrid test
DIP:32111E	DIP:20180N				24661455	DIP:19319N				19921752	14605208	Two hybrid test
DIP:32112E	DIP:18520N				24657961	DIP:19319N				19921752	14605208	Two hybrid test
DIP:32113E	DIP:22820N				24655182	DIP:19319N				19921752	14605208	Two hybrid test
DIP:32114E	DIP:22822N				20130351	DIP:22821N				28574155	14605208	Two hybrid test
DIP:32115E	DIP:17434N				24655153	DIP:21552N		Q07152	S41064	24641071	14605208	Two hybrid test
DIP:32116E	DIP:22824N				24582522	DIP:22823N				17136724	14605208	Two hybrid test
DIP:32117E	DIP:22624N				17137564	DIP:22825N				19922652	14605208	Two hybrid test
DIP:32118E	DIP:22826N				24656500	DIP:22825N				19922652	14605208	Two hybrid test
DIP:32119E	DIP:177N		P28159	A42770	17136726	DIP:20971N				21357163	14605208	Two hybrid test
DIP:32120E	DIP:22827N				17137682	DIP:20971N				21357163	14605208	Two hybrid test
DIP:32121E	DIP:22087N				28573564	DIP:19664N		Q24246		24643462	14605208	Two hybrid test
DIP:32122E	DIP:22087N				28573564	DIP:19665N				24643459	14605208	Two hybrid test
DIP:32123E	DIP:19293N				24649904	DIP:19742N				20129865	14605208	Two hybrid test
DIP:32124E	DIP:17408N				18858125	DIP:19742N				20129865	14605208	Two hybrid test
DIP:32125E	DIP:18712N		Q05856	JN0574	17136806	DIP:19742N				20129865	14605208	Two hybrid test
DIP:32126E	DIP:18123N				24585499	DIP:19742N				20129865	14605208	Two hybrid test
DIP:32127E	DIP:18332N				24648294	DIP:21922N				21355769	14605208	Two hybrid test
DIP:32128E	DIP:21441N				24649499	DIP:21922N				21355769	14605208	Two hybrid test
DIP:32129E	DIP:18077N				24645053	DIP:21922N				21355769	14605208	Two hybrid test
DIP:32130E	DIP:19817N				19922310	DIP:21922N				21355769	14605208	Two hybrid test
DIP:32131E	DIP:17412N			A57226	17136328	DIP:20669N				19921962	14605208	Two hybrid test
DIP:32132E	DIP:19745N		Q02361		17647421	DIP:18302N				24647789	14605208	Two hybrid test
DIP:32133E	DIP:17641N				24582554	DIP:18302N				24647789	14605208	Two hybrid test
DIP:32134E	DIP:18769N				28571823	DIP:22828N		O76248		17864448	14605208	Two hybrid test
DIP:32135E	DIP:21419N				19920826	DIP:22828N		O76248		17864448	14605208	Two hybrid test
DIP:32136E	DIP:22830N				24658292	DIP:22829N			JC7250	18860103	14605208	Two hybrid test
DIP:32137E	DIP:22831N				19922458	DIP:22829N			JC7250	18860103	14605208	Two hybrid test
DIP:32138E	DIP:17235N				24642276	DIP:22829N			JC7250	18860103	14605208	Two hybrid test
DIP:32139E	DIP:19189N				24644250	DIP:21470N				24651413	14605208	Two hybrid test
DIP:32140E	DIP:19189N				24644250	DIP:21471N				24651411	14605208	Two hybrid test
DIP:32141E	DIP:17280N				28558744	DIP:19685N				24639308	14605208	Two hybrid test
DIP:32142E	DIP:19819N				24650074	DIP:19743N				21358561	14605208	Two hybrid test
DIP:32143E	DIP:18323N				28574009	DIP:19516N				17864280	14605208	Two hybrid test
DIP:32144E	DIP:17755N				24585599	DIP:19516N				17864280	14605208	Two hybrid test
DIP:32145E	DIP:537N		P07181	MCFF	17647231	DIP:20984N				24584527	14605208	Two hybrid test
DIP:32146E	DIP:20103N				24653538	DIP:17481N				24666303	14605208	Two hybrid test
DIP:32148E	DIP:18507N				17137318	DIP:17481N				24666303	14605208	Two hybrid test
DIP:32150E	DIP:19307N				24658342	DIP:17481N				24666303	14605208	Two hybrid test
DIP:32152E	DIP:17464N				24584835	DIP:17481N				24666303	14605208	Two hybrid test
DIP:32154E	DIP:21162N				24583408	DIP:22832N				24656297	14605208	Two hybrid test
DIP:32155E	DIP:18216N		Q8MSF5		30923682	DIP:22832N				24656297	14605208	Two hybrid test
DIP:32156E	DIP:22833N				24663348	DIP:22832N				24656297	14605208	Two hybrid test
DIP:32157E	DIP:20184N				24660935	DIP:22832N				24656297	14605208	Two hybrid test
DIP:32158E	DIP:20263N				24640853	DIP:19375N				24656267	14605208	Two hybrid test
DIP:32159E	DIP:20513N				24580841	DIP:19375N				24656267	14605208	Two hybrid test
DIP:32160E	DIP:20453N				28573621	DIP:19375N				24656267	14605208	Two hybrid test
DIP:32161E	DIP:19305N				24646827	DIP:17324N				24638774	14605208	Two hybrid test
DIP:32162E	DIP:18680N				23397524	DIP:17324N				24638774	14605208	Two hybrid test
DIP:32163E	DIP:18483N				28574555	DIP:17324N				24638774	14605208	Two hybrid test
DIP:32164E	DIP:18485N				24654441	DIP:17324N				24638774	14605208	Two hybrid test
DIP:32165E	DIP:17359N				24582212	DIP:17324N				24638774	14605208	Two hybrid test
DIP:32166E	DIP:19132N				24647779	DIP:17704N				24653497	14605208	Two hybrid test
DIP:32167E	DIP:22834N				19921916	DIP:21654N				24664836	14605208	Two hybrid test
DIP:32168E	DIP:18029N				24656431	DIP:21654N				24664836	14605208	Two hybrid test
DIP:32169E	DIP:17914N		O44783		24656839	DIP:22835N				24641176	14605208	Two hybrid test
DIP:32170E	DIP:20294N				21357737	DIP:22836N				24582960	14605208	Two hybrid test
DIP:32171E	DIP:19043N		P41093	S45364	17647885	DIP:22836N				24582960	14605208	Two hybrid test
DIP:32172E	DIP:17158N				24651185	DIP:22836N				24582960	14605208	Two hybrid test
DIP:32173E	DIP:20033N				24580765	DIP:21886N				19921912	14605208	Two hybrid test
DIP:32174E	DIP:20867N				21356069	DIP:19456N		P09040		28573265	14605208	Two hybrid test
