BINDID	MolNameA	MolTypeA	GIA	GeneA	TaxName	MolNameB	MolTypeB	GIB	GeneB	TaxName	PMIDs
34768	CG15067	protein	24654934	0	Drosophila melanogaster	CG31224	not specified	0	0	Drosophila melanogaster	14605208
34769	CG15067	protein	24654934	0	Drosophila melanogaster	CG3203	protein	24640206	0	Drosophila melanogaster	14605208
34770	CG15067	protein	24654934	0	Drosophila melanogaster	CG32423	not specified	0	0	Drosophila melanogaster	14605208
34771	CG15067	protein	24654934	0	Drosophila melanogaster	sn	not specified	0	0	Drosophila melanogaster	14605208
34772	CG15067	protein	24654934	0	Drosophila melanogaster	Ppn	protein	28572038	0	Drosophila melanogaster	14605208
34773	CG15067	protein	24654934	0	Drosophila melanogaster	CG33116	protein	28574275	0	Drosophila melanogaster	14605208
34774	CG15067	protein	24654934	0	Drosophila melanogaster	CG40127	protein	30923682	0	Drosophila melanogaster	14605208
34775	CG15067	protein	24654934	0	Drosophila melanogaster	CG4169	protein	24665395	0	Drosophila melanogaster	14605208
34776	CG15067	protein	24654934	0	Drosophila melanogaster	RpP1	protein	17647887	0	Drosophila melanogaster	14605208
34777	CG15067	protein	24654934	0	Drosophila melanogaster	Eip55E	protein	19922554	0	Drosophila melanogaster	14605208
34778	CG15067	protein	24654934	0	Drosophila melanogaster	RpS3	protein	17136324	0	Drosophila melanogaster	14605208
34779	CG15067	protein	24654934	0	Drosophila melanogaster	eff	not specified	0	0	Drosophila melanogaster	14605208
34780	CG15068	protein	28573731	0	Drosophila melanogaster	CG32036	protein	24661689	0	Drosophila melanogaster	14605208
34781	CG15068	protein	28573731	0	Drosophila melanogaster	CG4115	protein	24646246	0	Drosophila melanogaster	14605208
34782	CG15068	protein	28573731	0	Drosophila melanogaster	CG8155	protein	22026880	0	Drosophila melanogaster	14605208
34783	CG15069	protein	24655099	0	Drosophila melanogaster	cm	protein	28571412	0	Drosophila melanogaster	14605208
34784	CG15069	protein	24655099	0	Drosophila melanogaster	aru	protein	24580737	0	Drosophila melanogaster	14605208
34785	CG15071	protein	24655170	0	Drosophila melanogaster	CG15071	protein	24655170	0	Drosophila melanogaster	14605208
34786	CG15071	protein	24655170	0	Drosophila melanogaster	CG15764	protein	24639988	0	Drosophila melanogaster	14605208
34787	CG15071	protein	24655170	0	Drosophila melanogaster	CG17143	protein	24654589	0	Drosophila melanogaster	14605208
34788	CG15071	protein	24655170	0	Drosophila melanogaster	Sry-alpha	protein	17864102	0	Drosophila melanogaster	14605208
34789	CG15071	protein	24655170	0	Drosophila melanogaster	Fer1HCH	protein	24651362	0	Drosophila melanogaster	14605208
34790	CG15071	protein	24655170	0	Drosophila melanogaster	mr	protein	20130331	0	Drosophila melanogaster	14605208
34791	CG15071	protein	24655170	0	Drosophila melanogaster	CG3610	protein	24646928	0	Drosophila melanogaster	14605208
34792	CG15071	protein	24655170	0	Drosophila melanogaster	crl	protein	24642559	0	Drosophila melanogaster	14605208
34793	CG15071	protein	24655170	0	Drosophila melanogaster	fzo	protein	24649250	0	Drosophila melanogaster	14605208
34794	CG15071	protein	24655170	0	Drosophila melanogaster	Tm2	protein	28571726	0	Drosophila melanogaster	14605208
34795	CG15071	protein	24655170	0	Drosophila melanogaster	CG5050	protein	24584828	0	Drosophila melanogaster	14605208
34796	CG15071	protein	24655170	0	Drosophila melanogaster	drk	protein	24653406	0	Drosophila melanogaster	14605208
34797	CG15071	protein	24655170	0	Drosophila melanogaster	CG6156	protein	24647139	0	Drosophila melanogaster	14605208
34798	CG15071	protein	24655170	0	Drosophila melanogaster	CG7231	protein	24582645	0	Drosophila melanogaster	14605208
34799	CG15071	protein	24655170	0	Drosophila melanogaster	CG8368	protein	24659458	0	Drosophila melanogaster	14605208
34800	CG15071	protein	24655170	0	Drosophila melanogaster	CG8640	protein	24659755	0	Drosophila melanogaster	14605208
34801	CG15071	protein	24655170	0	Drosophila melanogaster	CG9188	protein	24582391	0	Drosophila melanogaster	14605208
34802	CG15071	protein	24655170	0	Drosophila melanogaster	CG9902	protein	24642543	0	Drosophila melanogaster	14605208
34803	CG15071	protein	24655170	0	Drosophila melanogaster	CG9911	protein	24642443	0	Drosophila melanogaster	14605208
34804	CG15071	protein	24655170	0	Drosophila melanogaster	CG9951	protein	21356121	0	Drosophila melanogaster	14605208
34805	CG15071	protein	24655170	0	Drosophila melanogaster	CG9986	protein	21357761	0	Drosophila melanogaster	14605208
34806	CG15073	protein	24655176	0	Drosophila melanogaster	mei-S332	protein	17136328	0	Drosophila melanogaster	14605208
34807	CG15073	protein	24655176	0	Drosophila melanogaster	CG8319	protein	28571615	0	Drosophila melanogaster	14605208
34808	CG15080	protein	24655245	0	Drosophila melanogaster	CG15697	protein	24648551	0	Drosophila melanogaster	14605208
34809	CG15080	protein	24655245	0	Drosophila melanogaster	trio	protein	24654960	0	Drosophila melanogaster	14605208
34810	CG15080	protein	24655245	0	Drosophila melanogaster	PEK	protein	21356925	0	Drosophila melanogaster	14605208
34811	CG15080	protein	24655245	0	Drosophila melanogaster	CG2560	protein	18859833	0	Drosophila melanogaster	14605208
34812	CG15080	protein	24655245	0	Drosophila melanogaster	CG32732	protein	24640264	0	Drosophila melanogaster	14605208
34813	CG15080	protein	24655245	0	Drosophila melanogaster	CG5327	protein	24655119	0	Drosophila melanogaster	14605208
34814	CG15080	protein	24655245	0	Drosophila melanogaster	BcDNA:LD06837	protein	19921136	0	Drosophila melanogaster	14605208
34815	CG15080	protein	24655245	0	Drosophila melanogaster	CG6359	protein	24646345	0	Drosophila melanogaster	14605208
34816	CG15080	protein	24655245	0	Drosophila melanogaster	CG7158	protein	21358361	0	Drosophila melanogaster	14605208
34817	CG15080	protein	24655245	0	Drosophila melanogaster	CG7456	protein	19921094	0	Drosophila melanogaster	14605208
34818	CG15080	protein	24655245	0	Drosophila melanogaster	CG7730	protein	45552095	0	Drosophila melanogaster	14605208
34819	CG15080	protein	24655245	0	Drosophila melanogaster	garz	protein	24652970	0	Drosophila melanogaster	14605208
34820	CG15080	protein	24655245	0	Drosophila melanogaster	CG8634	protein	24659765	0	Drosophila melanogaster	14605208
34821	CG15080	protein	24655245	0	Drosophila melanogaster	CG8784	protein	24646524	0	Drosophila melanogaster	14605208
34822	CG15080	protein	24655245	0	Drosophila melanogaster	RnrS	protein	18079279	0	Drosophila melanogaster	14605208
34823	CG15080	protein	24655245	0	Drosophila melanogaster	CG9083	protein	22024283	0	Drosophila melanogaster	14605208
34824	CG15080	protein	24655245	0	Drosophila melanogaster	CG9184	protein	24655121	0	Drosophila melanogaster	14605208
34825	CG15080	protein	24655245	0	Drosophila melanogaster	CG9205	protein	24654967	0	Drosophila melanogaster	14605208
34826	CG15080	protein	24655245	0	Drosophila melanogaster	glob1	protein	24647280	0	Drosophila melanogaster	14605208
34827	CG15083	protein	19922572	0	Drosophila melanogaster	CG17568	protein	24585156	0	Drosophila melanogaster	14605208
34828	CG15087	protein	28573717	0	Drosophila melanogaster	CG16728	protein	28573879	0	Drosophila melanogaster	14605208
34829	CG15087	protein	28573717	0	Drosophila melanogaster	vkg	protein	17137252	0	Drosophila melanogaster	14605208
34830	CG15087	protein	28573717	0	Drosophila melanogaster	CG3249	protein	45551424	0	Drosophila melanogaster	14605208
34831	CG15087	protein	28573717	0	Drosophila melanogaster	CG32584	protein	45551461	0	Drosophila melanogaster	14605208
34832	CG15087	protein	28573717	0	Drosophila melanogaster	dmt	protein	17737871	0	Drosophila melanogaster	14605208
34833	CG15093	protein	24655240	0	Drosophila melanogaster	CG18128	protein	24762376	0	Drosophila melanogaster	14605208
34834	CG15094	protein	24655255	0	Drosophila melanogaster	Hsp60B	protein	17864606	0	Drosophila melanogaster	14605208
34835	CG15096	protein	24655271	0	Drosophila melanogaster	Taf12	protein	24646044	0	Drosophila melanogaster	14605208
34836	CG15098	protein	45550461	0	Drosophila melanogaster	His4r	protein	24646875	0	Drosophila melanogaster	14605208
34837	Jheh1	protein	20130139	0	Drosophila melanogaster	CG5144	protein	24661332	0	Drosophila melanogaster	14605208
34838	Jheh2	protein	45552070	0	Drosophila melanogaster	CG5064	not specified	0	0	Drosophila melanogaster	14605208
34839	Jheh2	protein	45552070	0	Drosophila melanogaster	CstF-64	protein	17137710	0	Drosophila melanogaster	14605208
34840	CG15105	protein	24655386	0	Drosophila melanogaster	CG7010	protein	28571106	0	Drosophila melanogaster	14605208
34841	CG15109	protein	28573563	0	Drosophila melanogaster	RpL27A	protein	17136880	0	Drosophila melanogaster	14605208
34842	CG15109	protein	28573563	0	Drosophila melanogaster	Lk6	protein	24646075	0	Drosophila melanogaster	14605208
34843	CG15109	protein	28573563	0	Drosophila melanogaster	14-3-3zeta	not specified	0	0	Drosophila melanogaster	14605208
34844	CG15109	protein	28573563	0	Drosophila melanogaster	CG18112	protein	24651156	0	Drosophila melanogaster	14605208
34845	CG15109	protein	28573563	0	Drosophila melanogaster	Hsp70Aa	protein	24646137	0	Drosophila melanogaster	14605208
34846	CG15109	protein	28573563	0	Drosophila melanogaster	CG2052	protein	45551181	0	Drosophila melanogaster	14605208
34847	CG15109	protein	28573563	0	Drosophila melanogaster	RpS3A	protein	24638501	0	Drosophila melanogaster	14605208
34848	CG15109	protein	28573563	0	Drosophila melanogaster	Ef2b	not specified	0	0	Drosophila melanogaster	14605208
34849	CG15109	protein	28573563	0	Drosophila melanogaster	CG30437	protein	24585844	0	Drosophila melanogaster	14605208
34850	CG15109	protein	28573563	0	Drosophila melanogaster	HLH4C	protein	24639715	0	Drosophila melanogaster	14605208
34851	CG15109	protein	28573563	0	Drosophila melanogaster	RpL12	protein	24762535	0	Drosophila melanogaster	14605208
34852	CG15109	protein	28573563	0	Drosophila melanogaster	CG32159	protein	24665331	0	Drosophila melanogaster	14605208
34853	CG15109	protein	28573563	0	Drosophila melanogaster	CG32446	not specified	0	0	Drosophila melanogaster	14605208
34854	CG15109	protein	28573563	0	Drosophila melanogaster	CG32570	protein	24642633	0	Drosophila melanogaster	14605208
34855	CG15109	protein	28573563	0	Drosophila melanogaster	BcDNA:LD22118	protein	24642527	0	Drosophila melanogaster	14605208
34856	CG15109	protein	28573563	0	Drosophila melanogaster	RpL17A	protein	17647883	0	Drosophila melanogaster	14605208
34857	CG15109	protein	28573563	0	Drosophila melanogaster	CG3731	protein	24646943	0	Drosophila melanogaster	14605208
34858	CG15109	protein	28573563	0	Drosophila melanogaster	CG4115	protein	24646246	0	Drosophila melanogaster	14605208
34859	CG15109	protein	28573563	0	Drosophila melanogaster	Hsc70-3	not specified	0	0	Drosophila melanogaster	14605208
34860	CG15109	protein	28573563	0	Drosophila melanogaster	Bap60	protein	24641689	0	Drosophila melanogaster	14605208
34861	CG15109	protein	28573563	0	Drosophila melanogaster	Plap	protein	24580809	0	Drosophila melanogaster	14605208
34862	CG15109	protein	28573563	0	Drosophila melanogaster	Dad	not specified	0	0	Drosophila melanogaster	14605208
34863	CG15109	protein	28573563	0	Drosophila melanogaster	RpS27A	protein	17136574	0	Drosophila melanogaster	14605208
34864	CG15109	protein	28573563	0	Drosophila melanogaster	CG5642	protein	21358039	0	Drosophila melanogaster	14605208
34865	CG15109	protein	28573563	0	Drosophila melanogaster	RhoBTB	protein	28574635	0	Drosophila melanogaster	14605208
34866	CG15109	protein	28573563	0	Drosophila melanogaster	yellow-g	protein	17648123	0	Drosophila melanogaster	14605208
34867	CG15109	protein	28573563	0	Drosophila melanogaster	CG6094	protein	19921098	0	Drosophila melanogaster	14605208
34868	CG15109	protein	28573563	0	Drosophila melanogaster	RpL22	protein	17137152	0	Drosophila melanogaster	14605208
34869	CG15109	protein	28573563	0	Drosophila melanogaster	CG7611	protein	24668172	0	Drosophila melanogaster	14605208
34870	CG15109	protein	28573563	0	Drosophila melanogaster	CG7808	protein	24651185	0	Drosophila melanogaster	14605208
34871	CG15109	protein	28573563	0	Drosophila melanogaster	tko	protein	17933526	0	Drosophila melanogaster	14605208
34872	CG15109	protein	28573563	0	Drosophila melanogaster	C15	protein	45549042	0	Drosophila melanogaster	14605208
34873	CG15109	protein	28573563	0	Drosophila melanogaster	CG8286	protein	21355911	0	Drosophila melanogaster	14605208
34874	CG15109	protein	28573563	0	Drosophila melanogaster	l(2)k14710	not specified	0	0	Drosophila melanogaster	14605208
34875	CG15109	protein	28573563	0	Drosophila melanogaster	Su(var)205	protein	24582735	0	Drosophila melanogaster	14605208
34876	CG15109	protein	28573563	0	Drosophila melanogaster	CG8709	protein	22026837	0	Drosophila melanogaster	14605208
34877	CG15109	protein	28573563	0	Drosophila melanogaster	CSN4	protein	17137696	0	Drosophila melanogaster	14605208
34878	CG15109	protein	28573563	0	Drosophila melanogaster	CG8813	protein	19920604	0	Drosophila melanogaster	14605208
34879	CG15109	protein	28573563	0	Drosophila melanogaster	eIF-4a	not specified	0	0	Drosophila melanogaster	14605208
34880	CG15109	protein	28573563	0	Drosophila melanogaster	Nrv1	not specified	0	0	Drosophila melanogaster	14605208
34881	Eph	protein	24638668	0	Drosophila melanogaster	CG15141	not specified	0	0	Drosophila melanogaster	14605208
34882	ena	protein	24655480	0	Drosophila melanogaster	CG15576	protein	24639649	0	Drosophila melanogaster	14605208
34883	ena	protein	24655480	0	Drosophila melanogaster	flw	protein	24641014	0	Drosophila melanogaster	14605208
34884	ena	protein	24655480	0	Drosophila melanogaster	CG31163	protein	28571813	0	Drosophila melanogaster	14605208
34885	ena	protein	24655480	0	Drosophila melanogaster	CG31999	protein	28558748	0	Drosophila melanogaster	14605208
34886	ena	protein	24655480	0	Drosophila melanogaster	CG9837	protein	24645184	0	Drosophila melanogaster	14605208
34887	CG15116	protein	24655406	0	Drosophila melanogaster	CG18186	protein	24654498	0	Drosophila melanogaster	14605208
34888	CG15118	protein	24655459	0	Drosophila melanogaster	Rad23	protein	24638593	0	Drosophila melanogaster	14605208
34889	CG15118	protein	24655459	0	Drosophila melanogaster	rols	protein	24663106	0	Drosophila melanogaster	14605208
34890	CG15119	protein	19922592	0	Drosophila melanogaster	Tequila	protein	24661371	0	Drosophila melanogaster	14605208
34891	CG15119	protein	19922592	0	Drosophila melanogaster	CG8784	protein	24646524	0	Drosophila melanogaster	14605208
34892	cul-2	protein	24585698	0	Drosophila melanogaster	CG32635	protein	24641790	0	Drosophila melanogaster	14605208
34893	CG15120	protein	24655824	0	Drosophila melanogaster	Traf3	protein	24642520	0	Drosophila melanogaster	14605208
34894	CG15120	protein	24655824	0	Drosophila melanogaster	CG9036	protein	19922620	0	Drosophila melanogaster	14605208
34895	CG15120	protein	24655824	0	Drosophila melanogaster	CG9426	protein	24584043	0	Drosophila melanogaster	14605208
34896	CG15121	protein	24655838	0	Drosophila melanogaster	Ef2b	protein	24585713	0	Drosophila melanogaster	14605208
34897	CG15124	protein	24655888	0	Drosophila melanogaster	CG15152	protein	24584916	0	Drosophila melanogaster	14605208
34898	CG15124	protein	24655888	0	Drosophila melanogaster	Adf1	protein	24586029	0	Drosophila melanogaster	14605208
34899	CG15124	protein	24655888	0	Drosophila melanogaster	Msp-300	protein	45550934	0	Drosophila melanogaster	14605208
34900	CG15124	protein	24655888	0	Drosophila melanogaster	CG2241	protein	24651451	0	Drosophila melanogaster	14605208
34901	CG15124	protein	24655888	0	Drosophila melanogaster	alpha-catenin-related	protein	45551161	0	Drosophila melanogaster	14605208
34902	CG15124	protein	24655888	0	Drosophila melanogaster	CG30426	protein	24762738	0	Drosophila melanogaster	14605208
34903	CG15124	protein	24655888	0	Drosophila melanogaster	Syx1A	protein	17738167	0	Drosophila melanogaster	14605208
34904	CG15124	protein	24655888	0	Drosophila melanogaster	CG32369	protein	24660416	0	Drosophila melanogaster	14605208
34905	CG15124	protein	24655888	0	Drosophila melanogaster	Cdk5	protein	17137070	0	Drosophila melanogaster	14605208
34906	CG15124	protein	24655888	0	Drosophila melanogaster	CSN4	protein	17137696	0	Drosophila melanogaster	14605208
34907	CG15124	protein	24655888	0	Drosophila melanogaster	CG9754	protein	19922686	0	Drosophila melanogaster	14605208
34908	CG15124	protein	24655888	0	Drosophila melanogaster	mit(1)15	protein	24639368	0	Drosophila melanogaster	14605208
34909	CG15124	protein	24655888	0	Drosophila melanogaster	CG9986	protein	21357761	0	Drosophila melanogaster	14605208
34910	CG15125	protein	21687200	0	Drosophila melanogaster	CG5846	protein	19921030	0	Drosophila melanogaster	14605208
34911	CG15126	protein	24655930	0	Drosophila melanogaster	CG17666	protein	24663466	0	Drosophila melanogaster	14605208
34912	CG15126	protein	24655930	0	Drosophila melanogaster	betaggt-II	protein	17864566	0	Drosophila melanogaster	14605208
34913	CG15126	protein	24655930	0	Drosophila melanogaster	BG:DS04095.3	protein	24584547	0	Drosophila melanogaster	14605208
34914	CG15126	protein	24655930	0	Drosophila melanogaster	CG9025	protein	24656441	0	Drosophila melanogaster	14605208
34915	CG15126	protein	24655930	0	Drosophila melanogaster	CG9572	protein	24643447	0	Drosophila melanogaster	14605208
34916	CG15126	protein	24655930	0	Drosophila melanogaster	Pp2B-14D	protein	24642547	0	Drosophila melanogaster	14605208
34917	CG1513	protein	28573934	0	Drosophila melanogaster	Vap-33-1	protein	18543325	0	Drosophila melanogaster	14605208
34918	CG1513	protein	28573934	0	Drosophila melanogaster	fan	protein	24660611	0	Drosophila melanogaster	14605208
34919	CG15130	protein	24585428	0	Drosophila melanogaster	CG6726	protein	24649204	0	Drosophila melanogaster	14605208
34920	CG15136	protein	24584774	0	Drosophila melanogaster	CG1552	protein	24641168	0	Drosophila melanogaster	14605208
34921	CG15136	protein	24584774	0	Drosophila melanogaster	Scs-fp	not specified	0	0	Drosophila melanogaster	14605208
34922	CG15136	protein	24584774	0	Drosophila melanogaster	CG31152	protein	21355689	0	Drosophila melanogaster	14605208
34923	CG15136	protein	24584774	0	Drosophila melanogaster	CG32267	not specified	0	0	Drosophila melanogaster	14605208
34924	CG15136	protein	24584774	0	Drosophila melanogaster	bic	not specified	0	0	Drosophila melanogaster	14605208
34925	CG15136	protein	24584774	0	Drosophila melanogaster	Mtl	not specified	0	0	Drosophila melanogaster	14605208
34926	CG15136	protein	24584774	0	Drosophila melanogaster	CG5938	protein	24650600	0	Drosophila melanogaster	14605208
34927	CG15136	protein	24584774	0	Drosophila melanogaster	CG6298	protein	24665996	0	Drosophila melanogaster	14605208
34928	CG15141	protein	19921458	0	Drosophila melanogaster	CG15631	protein	24581719	0	Drosophila melanogaster	14605208
34929	CG15141	protein	19921458	0	Drosophila melanogaster	CG17446	protein	24640806	0	Drosophila melanogaster	14605208
34930	CG15141	protein	19921458	0	Drosophila melanogaster	PhKgamma	protein	24641365	0	Drosophila melanogaster	14605208
34931	CG15141	protein	19921458	0	Drosophila melanogaster	EG:84H4.4	protein	23397623	0	Drosophila melanogaster	14605208
34932	CG15141	protein	19921458	0	Drosophila melanogaster	odd	protein	24581484	0	Drosophila melanogaster	14605208
34933	CG15141	protein	19921458	0	Drosophila melanogaster	CG4328	protein	24663246	0	Drosophila melanogaster	14605208
34934	CG15141	protein	19921458	0	Drosophila melanogaster	RpL3	protein	24645881	0	Drosophila melanogaster	14605208
34935	CG15141	protein	19921458	0	Drosophila melanogaster	msi	protein	28571891	0	Drosophila melanogaster	14605208
34936	CG15141	protein	19921458	0	Drosophila melanogaster	CG6707	protein	24662056	0	Drosophila melanogaster	14605208
34937	CG15141	protein	19921458	0	Drosophila melanogaster	stck	protein	24645058	0	Drosophila melanogaster	14605208
34938	CG15141	protein	19921458	0	Drosophila melanogaster	ATPsyn-b	protein	24661888	0	Drosophila melanogaster	14605208
34939	CG15141	protein	19921458	0	Drosophila melanogaster	CG8415	protein	22024141	0	Drosophila melanogaster	14605208
34940	CG15141	protein	19921458	0	Drosophila melanogaster	CG8435	protein	22024170	0	Drosophila melanogaster	14605208
34941	CG15141	protein	19921458	0	Drosophila melanogaster	CG8589	protein	24653610	0	Drosophila melanogaster	14605208
34942	CG15141	protein	19921458	0	Drosophila melanogaster	betaTub56D	protein	28573700	0	Drosophila melanogaster	14605208
34943	CG15150	protein	20129579	0	Drosophila melanogaster	CG17127	protein	24583531	0	Drosophila melanogaster	14605208
34944	CG15150	protein	20129579	0	Drosophila melanogaster	CG18476	protein	24646039	0	Drosophila melanogaster	14605208
34945	CG15150	protein	20129579	0	Drosophila melanogaster	RpL40	protein	17136570	0	Drosophila melanogaster	14605208
34946	CG15150	protein	20129579	0	Drosophila melanogaster	CG32542	not specified	0	0	Drosophila melanogaster	14605208
34947	CG15150	protein	20129579	0	Drosophila melanogaster	RpS17	protein	17647889	0	Drosophila melanogaster	14605208
34948	CG15150	protein	20129579	0	Drosophila melanogaster	Hsc70-4	protein	28571721	0	Drosophila melanogaster	14605208
34949	CG15150	protein	20129579	0	Drosophila melanogaster	CG4756	protein	18859859	0	Drosophila melanogaster	14605208
34950	CG15150	protein	20129579	0	Drosophila melanogaster	CG4759	protein	24650124	0	Drosophila melanogaster	14605208
34951	CG15150	protein	20129579	0	Drosophila melanogaster	RpS27A	protein	17136574	0	Drosophila melanogaster	14605208
34952	CG15150	protein	20129579	0	Drosophila melanogaster	CG5478	protein	21357915	0	Drosophila melanogaster	14605208
34953	CG15150	protein	20129579	0	Drosophila melanogaster	CG5677	protein	21355207	0	Drosophila melanogaster	14605208
34954	CG15150	protein	20129579	0	Drosophila melanogaster	ect	protein	24662151	0	Drosophila melanogaster	14605208
34955	CG15150	protein	20129579	0	Drosophila melanogaster	CG7424	protein	24582672	0	Drosophila melanogaster	14605208
34956	CG15150	protein	20129579	0	Drosophila melanogaster	eff	protein	24646906	0	Drosophila melanogaster	14605208
34957	CG15150	protein	20129579	0	Drosophila melanogaster	CG7757	protein	24667067	0	Drosophila melanogaster	14605208
34958	CG15150	protein	20129579	0	Drosophila melanogaster	His3.3B	not specified	0	0	Drosophila melanogaster	14605208
34959	CG15150	protein	20129579	0	Drosophila melanogaster	CG9609	protein	18859997	0	Drosophila melanogaster	14605208
34960	CG15152	protein	24584916	0	Drosophila melanogaster	CG2774	protein	24581429	0	Drosophila melanogaster	14605208
34961	CG15152	protein	24584916	0	Drosophila melanogaster	CG5094	protein	24584835	0	Drosophila melanogaster	14605208
34962	CG15152	protein	24584916	0	Drosophila melanogaster	fan	protein	24660611	0	Drosophila melanogaster	14605208
34963	CG15152	protein	24584916	0	Drosophila melanogaster	CG9392	protein	24666886	0	Drosophila melanogaster	14605208
34964	CG15152	protein	24584916	0	Drosophila melanogaster	l(2)06496	protein	21356003	0	Drosophila melanogaster	14605208
34965	CG15153	protein	24584913	0	Drosophila melanogaster	Ef1alpha48D	protein	24652838	0	Drosophila melanogaster	14605208
34966	CG15153	protein	24584913	0	Drosophila melanogaster	CG9304	protein	45550485	0	Drosophila melanogaster	14605208
34967	Socs36E	protein	28574389	0	Drosophila melanogaster	CG18135	protein	28574860	0	Drosophila melanogaster	14605208
34968	Socs36E	protein	28574389	0	Drosophila melanogaster	BG:DS02740.9	protein	24584577	0	Drosophila melanogaster	14605208
34969	Socs36E	protein	28574389	0	Drosophila melanogaster	Src64B	protein	24657868	0	Drosophila melanogaster	14605208
34970	Socs36E	protein	28574389	0	Drosophila melanogaster	dmt	protein	17737871	0	Drosophila melanogaster	14605208
34971	BcDNA:GH06348	protein	24652228	0	Drosophila melanogaster	CG2224	not specified	0	0	Drosophila melanogaster	14605208
34972	CG15161	protein	24584997	0	Drosophila melanogaster	dx	protein	24640145	0	Drosophila melanogaster	14605208
34973	CG15167	protein	24585033	0	Drosophila melanogaster	CG15576	protein	24639649	0	Drosophila melanogaster	14605208
34974	CG15167	protein	24585033	0	Drosophila melanogaster	CG15631	protein	24581719	0	Drosophila melanogaster	14605208
34975	CG15167	protein	24585033	0	Drosophila melanogaster	Rbp1	protein	24645771	0	Drosophila melanogaster	14605208
34976	CG15167	protein	24585033	0	Drosophila melanogaster	CG2158	protein	19921802	0	Drosophila melanogaster	14605208
34977	CG15167	protein	24585033	0	Drosophila melanogaster	CG2199	protein	24655153	0	Drosophila melanogaster	14605208
34978	CG15167	protein	24585033	0	Drosophila melanogaster	HLH4C	protein	24639715	0	Drosophila melanogaster	14605208
34979	CG15167	protein	24585033	0	Drosophila melanogaster	RpP2	protein	17136320	0	Drosophila melanogaster	14605208
34980	CG15167	protein	24585033	0	Drosophila melanogaster	CG4328	protein	24663246	0	Drosophila melanogaster	14605208
34981	CG15167	protein	24585033	0	Drosophila melanogaster	SmB	protein	17136806	0	Drosophila melanogaster	14605208
34982	CG15167	protein	24585033	0	Drosophila melanogaster	Pk17E	protein	24643118	0	Drosophila melanogaster	14605208
34983	CG15167	protein	24585033	0	Drosophila melanogaster	ps	protein	24645370	0	Drosophila melanogaster	14605208
34984	CG15169	protein	24585089	0	Drosophila melanogaster	eIF2B-beta	protein	18543295	0	Drosophila melanogaster	14605208
34985	CG15170	protein	24585087	0	Drosophila melanogaster	CG15781	protein	24639885	0	Drosophila melanogaster	14605208
34986	CG15170	protein	24585087	0	Drosophila melanogaster	brk	not specified	0	0	Drosophila melanogaster	14605208
34987	CG15173	protein	28574371	0	Drosophila melanogaster	CG5359	protein	21356073	0	Drosophila melanogaster	14605208
34988	CG15177	protein	24644650	0	Drosophila melanogaster	Cyt-c-p	protein	17137228	0	Drosophila melanogaster	14605208
34989	CG15177	protein	24644650	0	Drosophila melanogaster	CG2233	protein	18921139	0	Drosophila melanogaster	14605208
34990	CG15177	protein	24644650	0	Drosophila melanogaster	Top3beta	protein	28571430	0	Drosophila melanogaster	14605208
34991	CG15177	protein	24644650	0	Drosophila melanogaster	Chi	protein	45551162	0	Drosophila melanogaster	14605208
34992	CG15177	protein	24644650	0	Drosophila melanogaster	pxt	protein	28571758	0	Drosophila melanogaster	14605208
34993	CG15177	protein	24644650	0	Drosophila melanogaster	CG9917	not specified	0	0	Drosophila melanogaster	14605208
34994	CG15185	protein	24644626	0	Drosophila melanogaster	sgg	protein	24639383	0	Drosophila melanogaster	14605208
34995	CG15185	protein	24644626	0	Drosophila melanogaster	CG7786	protein	24654082	0	Drosophila melanogaster	14605208
34996	CG15185	protein	24644626	0	Drosophila melanogaster	AP-1gamma	protein	45552124	0	Drosophila melanogaster	14605208
34997	Prosalpha7	protein	28573936	0	Drosophila melanogaster	CG4707	protein	19922922	0	Drosophila melanogaster	14605208
34998	Prosalpha7	protein	28573936	0	Drosophila melanogaster	Pros35	protein	17737405	0	Drosophila melanogaster	14605208
34999	CG15194	protein	24641304	0	Drosophila melanogaster	CG2107	protein	24656312	0	Drosophila melanogaster	14605208
35000	CG15198	protein	24641245	0	Drosophila melanogaster	unc-13	protein	24638724	0	Drosophila melanogaster	14605208
35001	CG15198	protein	24641245	0	Drosophila melanogaster	CG30327	protein	24657504	0	Drosophila melanogaster	14605208
35002	CG15198	protein	24641245	0	Drosophila melanogaster	CG4270	protein	24581081	0	Drosophila melanogaster	14605208
35003	CG15198	protein	24641245	0	Drosophila melanogaster	CG9455	protein	22024059	0	Drosophila melanogaster	14605208
35004	CG15199	protein	24641213	0	Drosophila melanogaster	CG7409	protein	24660381	0	Drosophila melanogaster	14605208
35005	WASp	protein	28572033	0	Drosophila melanogaster	CG7251	protein	19920766	0	Drosophila melanogaster	14605208
35006	WASp	protein	28572033	0	Drosophila melanogaster	chic	protein	24582073	0	Drosophila melanogaster	14605208
35007	CG15200	protein	24641235	0	Drosophila melanogaster	CG15482	protein	24584039	0	Drosophila melanogaster	14605208
35008	CG15201	protein	18859747	0	Drosophila melanogaster	CG32369	protein	24660416	0	Drosophila melanogaster	14605208
35009	CG15201	protein	18859747	0	Drosophila melanogaster	BG:DS00180.10	protein	19921312	0	Drosophila melanogaster	14605208
35010	CG15208	protein	18859749	0	Drosophila melanogaster	CG8981	protein	24652844	0	Drosophila melanogaster	14605208
