BINDID	MolNameA	MolTypeA	GIA	GeneA	TaxName	MolNameB	MolTypeB	GIB	GeneB	TaxName	PMIDs
183568	ato-RE	dna	20349357	40975	Drosophila melanogaster	Ato	protein	24645007	40975	Drosophila melanogaster	15525530
183569	ato-RE	dna	20349357	40975	Drosophila melanogaster	Da	protein	17137250	34413	Drosophila melanogaster	15525530
183618	Drosha	protein	17137682	35747	Drosophila melanogaster	Pri-miR30a	rna	1	0	Drosophila melanogaster	15531879
183621	Drosha	protein	17137682	35747	Drosophila melanogaster	Pri-bantam	rna	1	0	Drosophila melanogaster	15531879
183624	Drosha	protein	17137682	35747	Drosophila melanogaster	Pasha	protein	21357163	43728	Drosophila melanogaster	15531879
183675	dCtBP	protein	24646446	41602	Drosophila melanogaster	E-APC	protein	17137670	42871	Drosophila melanogaster	15525529
183676	E-APC	protein	17137670	42871	Drosophila melanogaster	Arm	protein	0	31151	Drosophila melanogaster	15525529
183792	DIAP1	protein	24664967	39753	Drosophila melanogaster	Rpr	protein	17737621	40015	Drosophila melanogaster	15580265
183867	Pins	protein	24650658	53569	Drosophila melanogaster	Pins	protein	24650658	53569	Drosophila melanogaster	15537540
184980	Pum	protein	24645264	41094	Drosophila melanogaster	eIF4E 3'UTR	rna	24661564	45525	Drosophila melanogaster	15541314
184981	Pum	protein	24645264	41094	Drosophila melanogaster	eIF4E 3'UTR	rna	24661560	45525	Drosophila melanogaster	15541314
184982	Pum	protein	24645264	41094	Drosophila melanogaster	eIF4E 3'UTR	rna	24661556	45525	Drosophila melanogaster	15541314
184983	Pum	protein	24645264	41094	Drosophila melanogaster	eIF4E 3'UTR	rna	24661552	45525	Drosophila melanogaster	15541314
184984	Pum	protein	24645264	41094	Drosophila melanogaster	eIF4E 3'UTR	rna	24661545	45525	Drosophila melanogaster	15541314
184985	Pum	protein	24645264	41094	Drosophila melanogaster	eIF4E 3'UTR	rna	24661541	45525	Drosophila melanogaster	15541314
184986	Pum	protein	24645264	41094	Drosophila melanogaster	eIF4E 3'UTR	rna	24661549	45525	Drosophila melanogaster	15541314
184987	Pum	protein	24645264	41094	Drosophila melanogaster	hb NRE	rna	24645126	41032	Drosophila melanogaster	9660969 | 15541314
184988	Pum	protein	24645264	41094	Drosophila melanogaster	hb NRE	rna	24645128	41032	Drosophila melanogaster	9660969 | 15541314
