CG10023	FBan0010023	FBgn0020440	Fak56D	Focal Adhesion Kinase	
CR18748	FBan0018748	FBgn0042105	CR18748		
CG10026	FBan0010026	FBgn0032785	CG10026		
CG10029	FBan0010029	FBgn0037498	CG10029		
CG2520	FBan0002520	FBgn0026210	lap	like-AP180	FBgn0011467,FBgn0026062,FBgn0047251
CG3250	FBan0003250	FBgn0010401	Os-C		
CG2522	FBan0002522	FBgn0010391	Gtp-bp	GTP-binding protein	FBgn0025711,FBgn0030267
CG3251	FBan0003251	FBgn0031622	CG3251		
CG3252	FBan0003252	FBgn0029762	CG3252		
CG3253	FBan0003253	FBgn0041706	CG3253		FBgn0034977
CG2525	FBan0002525	FBgn0026417	Hus1-like		
CG3254	FBan0003254	FBgn0031530	pgant2	polypeptide GalNAc transferase 2	
CG2528	FBan0002528	FBgn0032969	CG2528		
CG3257	FBan0003257	FBgn0034978	CG3257		FBgn0027764
CG3258	FBan0003258	FBgn0000137	ase	asense	
CG3259	FBan0003259	FBgn0038221	CG3259		
CG10031	FBan0010031	FBgn0031563	CG10031		
CG10032	FBan0010032	FBgn0037493	CG10032		
CG10033	FBan0010033	FBgn0000721	for	foraging	FBgn0000443,FBgn0010629,FBgn0031555,FBgn0063202
CG10034	FBan0010034	FBgn0032786	tj	traffic jam	
CG10035	FBan0010035	FBgn0038028	CG10035		FBgn0025945
CG10036	FBan0010036	FBgn0015524	otp	orthopedia	FBgn0034559,FBgn0047081
CG10037	FBan0010037	FBgn0003995	vvl	ventral veins lacking	FBgn0000285,FBgn0003146,FBgn0011727
CG10038	FBan0010038	FBgn0038013	CG10038		
CG10039	FBan0010039	FBgn0031581	CG10039		
CG1800	FBan0001800	FBgn0039861	CG1800		
CG1801		FBgn0031171	CG1801		
CG2530	FBan0002530	FBgn0010313	corto	corto	FBgn0010917,FBgn0011464,FBgn0011465,FBgn0016125
CG3260	FBan0003260	FBgn0021875	Zfrp8	Zinc finger protein RP-8	FBgn0034981
CG1803	FBan0001803	FBgn0030362	regucalcin		
CG2533	FBan0002533	FBgn0030319	CG2533		FBgn0063703
CG3262	FBan0003262	FBgn0032986	CG3262		
CG1804	FBan0001804	FBgn0039862	kek6		
CG2534	FBan0002534	FBgn0000340	cno	canoe	FBgn0000465,FBgn0005637
CG3263	FBan0003263	FBgn0000275	Pka-R1	cAMP-dependent protein kinase R1	FBgn0040635
CG3264	FBan0003264	FBgn0034712	CG3264		
CG1806	FBan0001806	FBgn0030360	CG1806		
CG3265	FBan0003265	FBgn0027066	Eb1		FBgn0010578
CG1809	FBan0001809	FBgn0033423	CG1809		
CG3267	FBan0003267	FBgn0042083	CG3267		
CG3268	FBan0003268	FBgn0028579	phtf		FBgn0028488
CG3269	FBan0003269	FBgn0014009	Rab2	Rab-protein 2	
CG10041	FBan0010041	FBgn0038014	CG10041		
CG10042	FBan0010042	FBgn0038016	MBD-R2		FBgn0038015
CG10043	FBan0010043	FBgn0015803	rtGEF	rho-type guanine exchange factor	
CG10045	FBan0010045	FBgn0001149	GstD1	Glutathione S transferase D1	FBgn0010045
CG10047	FBan0010047	FBgn0028400	SytIV	Synaptotagmin IV	
CG1810	FBan0001810	FBgn0030556	mRNA-capping-enzyme		
CG2540	FBan0002540	FBgn0030411	CG2540		
CG3270	FBan0003270	FBgn0033093	CG3270		
CG1812	FBan0001812	FBgn0031119	CG1812		
CG3271	FBan0003271	FBgn0033088	CG3271		
CG1814	FBan0001814	FBgn0033426	CG1814		
CG2543	FBan0002543	FBgn0030407	CG2543		
CG3273	FBan0003273	FBgn0033082	sced	scrambled	
CG1815	FBan0001815	FBgn0039863	CG1815		
